id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan
,,30000,30000,30000, 36 months,8.81%,951.35,A,A5,Chief Executive Officer,1 year,MORTGAGE,112000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,28.80%,505.93,D,D5,Station Agent ,10+ years,RENT,84000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,20.00%,371.64,D,D2,Fresh,2 years,RENT,28000,Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,17.97%,542.07,D,D1,Administrative Assistant,5 years,MORTGAGE,58240,Verified,Mar-19,Issued,n
,,14400,14400,14400, 36 months,25.00%,572.55,D,D4,Assistant VP,10+ years,MORTGAGE,46340,Verified,Mar-19,Issued,n
,,24000,24000,24000, 36 months,8.19%,754.18,A,A4,Pilot,10+ years,MORTGAGE,329991,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,16.40%,392.5,C,C4,Hostler,6 years,MORTGAGE,65000,Source Verified,Mar-19,Issued,n
,,6500,6500,6500, 36 months,12.40%,217.14,B,B4,Portfolio Specialist,3 years,MORTGAGE,97000,Not Verified,Mar-19,Issued,n
,,18500,18500,18500, 60 months,14.74%,437.6,C,C2,,n/a,MORTGAGE,43000,Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,8.81%,380.54,A,A5,Front Office ,2 years,MORTGAGE,170000,Not Verified,Mar-19,Issued,n
,,8400,8400,8400, 36 months,13.90%,286.69,C,C1,finance shared services specialist 2,10+ years,RENT,66000,Not Verified,Mar-19,Issued,n
,,6000,6000,5975, 36 months,7.56%,186.81,A,A3,,n/a,MORTGAGE,33000,Source Verified,Mar-19,Issued,n
,,3025,3025,3025, 36 months,17.19%,108.14,C,C5,Warehouse employee,3 years,RENT,30000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,6.46%,367.57,A,A1,server,7 years,MORTGAGE,50000,Source Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,12.40%,897.89,B,B4,SVP,10+ years,MORTGAGE,515000,Source Verified,Mar-19,Issued,n
,,35000,35000,35000, 36 months,15.57%,1223.08,C,C3,Store Manager ,10+ years,RENT,122000,Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,20.00%,222.99,D,D2,mail and file clerk,10+ years,OWN,42000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,12.40%,359.16,B,B4,Information Technology,5 years,MORTGAGE,67500,Source Verified,Mar-19,Issued,n
,,11000,11000,11000, 60 months,16.40%,269.85,C,C4,LEGAL ASSISTANT,3 years,MORTGAGE,48000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,20.00%,635.86,D,D2,operating tech,8 years,MORTGAGE,123000,Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,13.90%,170.65,C,C1,,n/a,OWN,38400,Source Verified,Mar-19,Issued,n
,,6500,6500,6475, 36 months,8.81%,206.13,A,A5,Service Technician,10+ years,OWN,85000,Source Verified,Mar-19,Issued,n
,,35000,35000,35000, 60 months,13.08%,797.8,B,B5,Teacher,10+ years,MORTGAGE,115000,Source Verified,Mar-19,Issued,n
,,11400,11400,11400, 60 months,17.19%,284.49,C,C5,Electromechanical Technician,1 year,MORTGAGE,80000,Not Verified,Mar-19,Issued,n
,,4000,4000,4000, 36 months,8.81%,126.85,A,A5,,< 1 year,RENT,40996,Not Verified,Mar-19,Issued,n
,,12500,12500,12500, 36 months,6.46%,382.89,A,A1,Distribution Warehouse Driver,10+ years,MORTGAGE,47355,Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,13.08%,569.86,B,B5,CFO,9 years,MORTGAGE,165000,Verified,Mar-19,Issued,n
,,22000,22000,22000, 60 months,12.40%,493.84,B,B4,Staff Auditor,10+ years,RENT,43000,Verified,Mar-19,Issued,n
,,2000,2000,2000, 36 months,16.40%,70.71,C,C4,Teacher,3 years,RENT,53000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,12.40%,448.95,B,B4,Sales,1 year,MORTGAGE,70000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,12.40%,561.18,B,B4,,n/a,MORTGAGE,0,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,13.08%,273.53,B,B5,Branch manager,9 years,RENT,70000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,17.19%,249.55,C,C5,Formulation/Sanitizer,4 years,RENT,29000,Not Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,16.40%,735.94,C,C4,Dental Assistant,10+ years,MORTGAGE,150000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,17.97%,380.66,D,D1,Logistic Specialist,9 years,RENT,45000,Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,13.90%,511.94,C,C1,Office Manager,6 years,RENT,71500,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,20.00%,662.35,D,D2,Product Technician,10+ years,MORTGAGE,77105,Source Verified,Mar-19,Issued,n
,,32000,32000,32000, 60 months,20.00%,847.81,D,D2,Police Officer,10+ years,MORTGAGE,69000,Source Verified,Mar-19,Issued,n
,,2000,2000,2000, 36 months,20.00%,74.33,D,D2,Clinician ,2 years,MORTGAGE,55000,Not Verified,Mar-19,Issued,n
,,7200,7200,7200, 36 months,16.40%,254.56,C,C4,Sr Support Technical Analyst,7 years,OWN,98000,Not Verified,Mar-19,Issued,n
,,35000,35000,35000, 36 months,14.74%,1208.84,C,C2,"Sr. Manager, Quality Assurance",< 1 year,RENT,169000,Verified,Mar-19,Issued,n
,,7800,7800,7800, 36 months,11.02%,255.44,B,B2,Distribution manager,10+ years,RENT,61000,Source Verified,Mar-19,Issued,n
,,2000,2000,1725, 36 months,11.71%,66.16,B,B3,Supervisor,10+ years,MORTGAGE,95000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,11.02%,217.53,B,B2,,< 1 year,MORTGAGE,69999,Not Verified,Mar-19,Issued,n
,,31125,31125,31125, 60 months,13.08%,709.47,B,B5,Electronics Technician,5 years,MORTGAGE,90000,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.81%,475.68,A,A5,Technician,4 years,MORTGAGE,60500,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,13.90%,696.5,C,C1,RN,6 years,RENT,150000,Source Verified,Mar-19,Issued,n
,,13000,13000,13000, 36 months,6.46%,398.21,A,A1,,n/a,OWN,65000,Source Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,12.40%,359.16,B,B4,Customer Service Representative,< 1 year,RENT,29212,Source Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,14.74%,946.15,C,C2,Associate Executive Director,10+ years,MORTGAGE,150000,Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,25.00%,318.08,D,D4,Project Manager,10+ years,MORTGAGE,85000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,20.00%,529.88,D,D2,Custom applicator,2 years,MORTGAGE,55000,Verified,Mar-19,Issued,n
,,14000,14000,14000, 60 months,14.74%,331.16,C,C2,,n/a,RENT,48000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,22.50%,418.56,D,D3,Direct Care,10+ years,RENT,64000,Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,17.19%,623.88,C,C5,Sr. Data Manager,10+ years,MORTGAGE,200000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,20.00%,662.35,D,D2,Consumer Safety Technician,10+ years,RENT,70000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,20.00%,635.86,D,D2,Program Manager,10+ years,MORTGAGE,130000,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,12.40%,269.37,B,B4,CM Supervisor ,5 years,RENT,56000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.19%,471.37,A,A4,Engineer,10+ years,MORTGAGE,112783,Source Verified,Mar-19,Issued,n
,,8800,8800,8800, 36 months,20.00%,327.04,D,D2,CARE GIVER,3 years,RENT,24000,Not Verified,Mar-19,Issued,n
,,18200,18200,18200, 60 months,28.80%,575.49,D,D5,Vice President,8 years,RENT,118000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.19%,471.37,A,A4,Owner Director,10+ years,MORTGAGE,45000,Source Verified,Mar-19,Issued,n
,,16000,16000,16000, 36 months,6.46%,490.1,A,A1,"Director, Customer Support",8 years,OWN,100000,Source Verified,Mar-19,Issued,n
,,35000,35000,35000, 60 months,13.08%,797.8,B,B5,PSD Team ,< 1 year,MORTGAGE,125890,Verified,Mar-19,Fully Paid,n
,,32000,32000,32000, 60 months,14.74%,756.92,C,C2,Retail Salesperson,10+ years,RENT,90000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,22.50%,769,D,D3,Human Resources Liaison ,10+ years,RENT,75000,Not Verified,Mar-19,Current,n
,,6400,6400,6400, 36 months,13.90%,218.43,C,C1,,< 1 year,RENT,28000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,20.00%,662.35,D,D2,Director of Finance,4 years,MORTGAGE,135000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,8.19%,785.61,A,A4,,< 1 year,MORTGAGE,130000,Not Verified,Mar-19,Issued,n
,,1600,1600,1575, 36 months,11.02%,52.4,B,B2,CSR,1 year,RENT,27840,Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,17.97%,406.04,D,D1,,n/a,MORTGAGE,11000,Not Verified,Mar-19,Issued,n
,,14000,14000,14000, 36 months,8.81%,443.96,A,A5,Business Analyst,4 years,MORTGAGE,84000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,13.90%,853.23,C,C1,,< 1 year,MORTGAGE,250000,Not Verified,Mar-19,Issued,n
,,13500,13500,13500, 36 months,7.56%,420.31,A,A3,Collaborative Practice RN,8 years,MORTGAGE,68000,Not Verified,Mar-19,Issued,n
,,8400,8400,8400, 36 months,7.56%,261.53,A,A3,Superintendent,10+ years,MORTGAGE,56500,Verified,Mar-19,Issued,n
,,4800,4800,4800, 36 months,17.19%,171.59,C,C5,Creative Director,2 years,RENT,95000,Source Verified,Mar-19,Issued,n
,,10500,10500,10500, 36 months,17.19%,375.35,C,C5,Transportation Coordinator ,9 years,RENT,66000,Source Verified,Mar-19,Current,n
,,20000,20000,20000, 36 months,17.97%,722.75,D,D1,Computer Specialist,10+ years,RENT,110000,Not Verified,Mar-19,Issued,n
,,1000,1000,975, 36 months,7.56%,31.14,A,A3,,n/a,RENT,26000,Not Verified,Mar-19,Issued,n
,,18500,18500,18500, 60 months,14.74%,437.6,C,C2,,< 1 year,RENT,144000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,13.08%,364.71,B,B5,Admissions Counselor,2 years,RENT,72500,Source Verified,Mar-19,Issued,n
,,3500,3500,3500, 36 months,8.81%,110.99,A,A5,staff/instructor,10+ years,MORTGAGE,90000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,20.00%,929.09,D,D2,Engineer,8 years,MORTGAGE,105000,Verified,Mar-19,Current,n
,,30000,30000,30000, 60 months,14.74%,709.62,C,C2,Research Assistant II,9 years,MORTGAGE,64000,Source Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,20.00%,185.82,D,D2,Security Guard,< 1 year,RENT,42000,Not Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,13.90%,557.2,C,C1,Budget analyst,10+ years,MORTGAGE,86000,Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,12.40%,269.37,B,B4,,< 1 year,OWN,89000,Not Verified,Mar-19,Issued,n
,,7500,7500,7500, 36 months,16.40%,265.17,C,C4,Franchise Services Director,10+ years,MORTGAGE,98200,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,14.74%,709.62,C,C2,Auditor,10+ years,MORTGAGE,137512,Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,22.50%,558.08,D,D3,Route Rep,10+ years,RENT,48000,Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,28.80%,125.4,D,D5,Sales/Marketing,5 years,RENT,90000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,7.56%,778.35,A,A3,Nurse Practitioner ,3 years,MORTGAGE,126000,Not Verified,Mar-19,Issued,n
,,2800,2800,2775, 36 months,8.19%,87.99,A,A4,Brand and Content Strategist ,2 years,RENT,48500,Not Verified,Mar-19,Issued,n
,,23000,23000,23000, 60 months,17.97%,583.68,D,D1,,n/a,MORTGAGE,36000,Not Verified,Mar-19,Issued,n
,,35000,35000,35000, 60 months,15.57%,843.16,C,C3,Regional Sales Manager,10+ years,MORTGAGE,200000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,20.00%,371.64,D,D2,,n/a,RENT,27000,Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,15.57%,722.71,C,C3,,< 1 year,MORTGAGE,185000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,16.40%,294.38,C,C4,Network Architect,10+ years,MORTGAGE,82000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,20.00%,397.41,D,D2,maintenance,< 1 year,OWN,70000,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,20.00%,794.82,D,D2,Sale,10+ years,MORTGAGE,280000,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,22.50%,837.12,D,D3,,n/a,RENT,60000,Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,8.19%,94.28,A,A4,maintenance,10+ years,MORTGAGE,45000,Not Verified,Mar-19,Issued,n
,,7000,7000,7000, 36 months,20.00%,260.15,D,D2,Literacy Tutor,2 years,RENT,29000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 36 months,7.02%,741.27,A,A2,Senior Associate,10+ years,MORTGAGE,202000,Not Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,15.57%,104.84,C,C3,Ramp Service,10+ years,RENT,50000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 36 months,14.74%,552.62,C,C2,Assistant Manager ,10+ years,MORTGAGE,49500,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,22.50%,961.25,D,D3,Finance Director,10+ years,MORTGAGE,115000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,8.81%,317.12,A,A5,,< 1 year,MORTGAGE,36000,Not Verified,Mar-19,Issued,n
,,26000,26000,26000, 60 months,15.57%,626.35,C,C3,Production Foreman,10+ years,MORTGAGE,85000,Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,16.40%,367.97,C,C4,Healthcare sergeant,8 years,MORTGAGE,48576,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,17.97%,761.32,D,D1,Store GM,10+ years,MORTGAGE,115000,Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,22.50%,384.5,D,D3,Molder,10+ years,RENT,40000,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.81%,475.68,A,A5,Counselor ll,7 years,MORTGAGE,98000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,6.46%,612.62,A,A1,Administrative Assistant and Book Keeper,10+ years,MORTGAGE,68000,Not Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,15.57%,174.73,C,C3,Area Manager,3 years,OWN,65000,Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,20.00%,529.88,D,D2,,n/a,MORTGAGE,56000,Verified,Mar-19,Current,n
,,10000,10000,10000, 36 months,16.40%,353.55,C,C4,AGR OPS SGT/SFC,10+ years,RENT,92000,Verified,Mar-19,Current,n
,,12000,12000,12000, 36 months,8.81%,380.54,A,A5,CLS,10+ years,OWN,50000,Not Verified,Mar-19,Issued,n
,,17500,17500,17500, 36 months,17.19%,625.58,C,C5,Lead Technical Writer,5 years,RENT,82000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 36 months,20.00%,891.93,D,D2,Electrician,6 years,MORTGAGE,75000,Source Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,16.40%,282.84,C,C4,Supervisor,10+ years,MORTGAGE,90000,Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,14.74%,103.62,C,C2,Case Manager,10+ years,OWN,50000,Source Verified,Mar-19,Issued,n
,,5000,5000,4975, 36 months,8.19%,157.13,A,A4,Nurses Aid,10+ years,MORTGAGE,37000,Not Verified,Mar-19,Issued,n
,,22000,22000,22000, 60 months,14.74%,520.39,C,C2,Accountant,10+ years,MORTGAGE,52000,Not Verified,Mar-19,Current,n
,,20000,20000,20000, 60 months,15.57%,481.81,C,C3,DIRECTOR OF RELIGEOUS EDUCATION,10+ years,MORTGAGE,80300,Verified,Mar-19,Issued,n
,,2000,2000,2000, 36 months,25.00%,79.52,D,D4,,< 1 year,MORTGAGE,70000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,13.90%,232.17,C,C1,Quality control,< 1 year,MORTGAGE,40000,Not Verified,Mar-19,Issued,n
,,20400,20400,20400, 60 months,20.00%,540.48,D,D2,Rapid ReHousing Case Manager,3 years,RENT,66000,Source Verified,Mar-19,Issued,n
,,21000,21000,21000, 60 months,13.90%,487.55,C,C1,Police Officer,10+ years,RENT,77000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,14.74%,236.54,C,C2,Senior buyer,2 years,MORTGAGE,150000,Not Verified,Mar-19,Issued,n
,,13750,13750,13750, 36 months,28.80%,574.71,D,D5,,n/a,MORTGAGE,17808,Verified,Mar-19,Fully Paid,n
,,40000,40000,40000, 60 months,11.02%,870.1,B,B2,VP of Sales,3 years,MORTGAGE,288000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,20.00%,371.64,D,D2,benefits coordinator,10+ years,MORTGAGE,47700,Source Verified,Mar-19,Issued,n
,,28575,28575,28575, 60 months,20.00%,757.07,D,D2,Realtor,3 years,MORTGAGE,98000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,20.00%,264.94,D,D2,Senior Pharmacy Tech,10+ years,MORTGAGE,65000,Source Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,17.19%,998.2,C,C5,AEMT,3 years,MORTGAGE,35000,Verified,Mar-19,Issued,n
,,14000,14000,14000, 36 months,7.56%,435.88,A,A3,carpenter,10+ years,RENT,71000,Source Verified,Mar-19,Current,n
,,5000,5000,4975, 36 months,7.56%,155.67,A,A3,Cook,2 years,RENT,25000,Source Verified,Mar-19,Issued,n
,,16500,16500,16500, 36 months,8.19%,518.5,A,A4,Registered nurse ,3 years,MORTGAGE,63000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,8.19%,628.49,A,A4,information specialist,10+ years,MORTGAGE,45500,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,17.19%,374.33,C,C5,Marketing Director,3 years,RENT,150000,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.19%,471.37,A,A4,Maintenance Technician,5 years,MORTGAGE,65000,Verified,Mar-19,Issued,n
,,14400,14400,14400, 60 months,13.90%,334.32,C,C1,Prod. Tech,10+ years,RENT,107000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,20.00%,264.94,D,D2,Detention Officer,10+ years,RENT,49000,Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,14.74%,283.85,C,C2,resin operator,10+ years,MORTGAGE,55000,Not Verified,Mar-19,Issued,n
,,9000,9000,9000, 36 months,8.81%,285.41,A,A5,web content manager,6 years,MORTGAGE,90000,Not Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,17.19%,598.92,C,C5,Accounts Payable Manager,10+ years,MORTGAGE,68000,Source Verified,Mar-19,Issued,n
,,2675,2675,2400, 36 months,12.40%,89.37,B,B4,Rn,10+ years,MORTGAGE,90000,Source Verified,Mar-19,Issued,n
,,25200,25200,25200, 60 months,15.57%,607.08,C,C3,asst Supr,10+ years,MORTGAGE,65000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,17.19%,374.33,C,C5,Facilites Service Engineer ,2 years,MORTGAGE,82000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,13.90%,682.59,C,C1,Team Lead,4 years,MORTGAGE,95000,Source Verified,Mar-19,Issued,n
,,8500,8500,8500, 36 months,17.97%,307.17,D,D1,DOM worker,10+ years,RENT,50000,Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,17.97%,634.43,D,D1,Therapist,3 years,MORTGAGE,90000,Source Verified,Mar-19,Current,n
,,10000,10000,10000, 60 months,20.00%,264.94,D,D2,,n/a,MORTGAGE,34788,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,13.08%,674.65,B,B5,Office Manager,1 year,RENT,50000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,13.90%,464.33,C,C1,,n/a,MORTGAGE,78000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,20.00%,397.41,D,D2,Trainer,10+ years,RENT,58000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 36 months,7.56%,498.15,A,A3,Healthcare Analyst,6 years,MORTGAGE,80000,Not Verified,Mar-19,Issued,n
,,28000,28000,28000, 60 months,20.00%,741.83,D,D2,Human Resources supervisor ,3 years,RENT,65000,Source Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,6.46%,245.05,A,A1,Paralegal,10+ years,MORTGAGE,56000,Not Verified,Mar-19,Issued,n
,,9800,9800,9800, 36 months,7.02%,302.69,A,A2,Business Intelligence Specialist,10+ years,MORTGAGE,81000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,16.40%,490.63,C,C4,Consumer mortgage loan processor,< 1 year,MORTGAGE,46800,Source Verified,Mar-19,Issued,n
,,1100,1100,1100, 36 months,17.97%,39.76,D,D1,manager,10+ years,RENT,19000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,6.46%,367.57,A,A1,Table Games Dealer,10+ years,RENT,65000,Source Verified,Mar-19,Issued,n
,,2400,2400,2400, 36 months,8.19%,75.42,A,A4,AV Manager,3 years,RENT,67000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,14.74%,473.08,C,C2,Inspector,10+ years,RENT,48000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,8.81%,380.54,A,A5,System Administrator II,10+ years,MORTGAGE,117000,Not Verified,Mar-19,Issued,n
,,35000,35000,35000, 60 months,22.50%,976.64,D,D3,IT Tech,8 years,MORTGAGE,106000,Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,20.00%,397.41,D,D2,Director of Private Banking,10+ years,MORTGAGE,300000,Not Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,22.50%,230.7,D,D3,Plant Coordinator,10+ years,RENT,59000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,20.00%,423.91,D,D2,Ward Clerk,3 years,RENT,50000,Source Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,20.00%,794.82,D,D2,Registered Nurse,4 years,MORTGAGE,98000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,13.08%,341.92,B,B5,,< 1 year,RENT,42200,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,13.90%,341.3,C,C1,Service Technician,10+ years,RENT,90000,Not Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,10.33%,856.4,B,B1,Technician,10+ years,MORTGAGE,80000,Verified,Mar-19,Issued,n
,,38825,38825,38825, 60 months,13.08%,884.98,B,B5,Security,3 years,RENT,58000,Not Verified,Mar-19,Issued,n
,,8000,8000,7975, 36 months,8.19%,251.4,A,A4,Senior Director of Operations,1 year,OWN,150000,Source Verified,Mar-19,Issued,n
,,13200,13200,13200, 60 months,22.50%,368.34,D,D3,Anesthesia Tech,1 year,RENT,55000,Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,20.00%,397.41,D,D2,Salesman ,1 year,RENT,30000,Source Verified,Mar-19,Issued,n
,,3000,3000,2975, 36 months,8.19%,94.28,A,A4,Painter,9 years,OWN,106000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,14.74%,863.46,C,C2,IT Supervisor,10+ years,MORTGAGE,121330,Not Verified,Mar-19,Issued,n
,,3600,3600,3600, 36 months,16.40%,127.28,C,C4,Home aid,10+ years,RENT,32000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,7.56%,311.34,A,A3,Agent,2 years,RENT,70000,Not Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,17.19%,998.2,C,C5,Inside Sales,10+ years,MORTGAGE,50000,Verified,Mar-19,Issued,n
,,4700,4700,4675, 36 months,6.46%,143.97,A,A1,Maintenance,10+ years,RENT,30000,Not Verified,Mar-19,Issued,n
